comment,season,user_id,user_name
给生活找个方向....,1,309,cherrie
.,1,311,刺.
最爱的美剧了 看完最后一集心里空荡荡的 总能想起六人之间的大事小事和屁事破事,1,358,vivi
让我回忆起了看成长的烦恼赶脚，原来我一直都在琢磨他们笑点在哪里吧~不过评心而论，看他们真的不用动脑筋，完全就是傻子看疯子的效果啊！~,1,386,命--假如...
9.4/10,1,398,陈牛
还没看全.,1,313,zonovo
看到第十季总不想让它结束,1,314,DK小眼镜儿
跟我一起出生的剧呀,1,319,祖国幸运张格莱
二十四岁开始看 刚刚好 根本就是生活里的生活 喜欢和朋友一起看,1,321,我有罪
最爱,1,328,我gay家家慌
"我就是喜欢这样咯的!最爱钱得勒,也!",1,343,jessiestone
i`m a huge fan.,1,364,xi as usual
看完第一季。钱德，瑞秋。,1,388,说不清的蓝。
教我如何不爱,1,326,s以默
开始重看,1,337,不聊电影
永远的friends！,1,346,喵公子
Can't live without FRIENDS!,1,349,M
结束了，可是我该去哪里呢？,1,382,"404,Not Found"
看多了就烦了,1,312,阿蚪可以燎原
人生得一知己足矣，他们却有六个，我太嫉妒了。,1,316,卷卷猫猫头??
我真心不是这部剧的粉丝！,1,317,Taumini??
绝对经典,1,320,SUMMER七月
看过五遍了。。。,1,341,Broderick
最喜欢Chandler,1,365,dArchang
进入状态比较慢，很多词听不懂,1,366,豆友3845089
没事就重看啊!,1,376,乔峰
断断续续看了一个学期，放松心情的好电视！！！喜欢钱德不喜欢菲比，喜欢整个集体，最后的那个悬念真是。。吊胃口！,1,389,成见是一座大山
如果是直的异性朋友，就一定要搞到一起厚？,1,395,琦殿
Ross试图在新欢Julie、旧爱Rachel之间取舍，他拿两张纸，分别列出两位姑娘的缺点，列罢Rachel一大堆缺点后，他转向完美女友Julie，只想出一个缺点：She's not Rachel。,2,401,沉歌
很好看，比HOW I MET YOUR MOTHER好看很多…而且也不凭黄色笑话…本身依旧好笑…不愧是经典……最喜欢ross……其次phoebe……看了一个统计friends里每个人的男友女友数目 真的是好多……= = phoebe的男友总是莫名其妙就冒出来了……http://tieba.baidu.com/p/1568266692,2,422,tankdream
完成角色塑造的一季,2,423,菠萝
最后Rach追着去机场可是看到两人那幕真是替她心都碎了，其实原本觉得自己不会喜欢Rach这种娇生惯养还有点任性的性格，但她说话行事举手投足笑着的样子又那么sweet和likable。虽然现在这样做服务员，未来却说不定会大放异彩。当然选角jennifer大功劳。,2,433,Merindigo
　茱丽亚·罗伯茨 乔治克鲁尼,2,446,drunkenstain
男淫女淫都越来越基情,2,466,肉小墩
11222：EP12 &13里卷尾猴（capuchin）马塞尔进入演艺圈，后面都开始拍电影了，不禁猜想它是否参演了《加勒比海盗》系列？看到茱莉亚·罗伯茨（以及尚格·云顿）的客串演出真是惊喜；罗斯和瑞秋终于修成正果的EP14成为IMDb第二季单集评分最高的一集；越来越喜欢乔伊和钱德勒这对好基友了；女同情侣卡罗尔和苏珊不时让我联想到美版《同志亦凡人》的琳赛和梅兰妮……,2,488,Panda的影音
到了第二季，发现钱德勒戏份增加了。,2,491,如鱼得水
瑞秋跟那个傻傻呆呆的罗斯简直就是绝配啊，真心觉得罗斯好帅，这一季简直是太逗了我的天，里面到底有几个来客串的明星~,2,406,Odair
第二季非常精彩！那么多我念念不忘的情节原来都在第二季里。Rachel和Ross第一次在一起，每次看都落泪；茱莉亚罗伯茨的精彩客串；Joey成名搬出去又搬回来；还有成熟帅气的理查。,2,407,香水瓶
这季比第一季还好看，罗斯和瑞秋在一起啦~,2,464,七夕夜_半步
能笑就不哭...謝謝你們幫我打掃每次的壞心情！,2,485,贺儿
I'll be there for u.,2,404,鬼 鬼 ??
爱死菲比~~~~~~~~~~~~~~~~~~~~~~~~~~~~,2,414,dodo
看到这一季的时候，认识了老友记咖啡馆儿，并且自然而然成了那里的常客。,2,437,米姐起飞
最经典的美剧!,2,454,MR.Pain
偶突然开窍能够读懂笑料了 otz 高清台在播第3部了~（宾宾和乔依笑死偶了 囧囧囧囧囧囧囧囧 乔依这么加分的室友可遇不可求 囧）,2,489,小檠的罗宾熊
菲比有点太骚了,2,495,Green2018
9月看的 衣服都好潮啊 看着看着终于明白为什么rachel是美国甜心了 最后rachel趴在chandler背上那个表情 我都看哭了 joey超级可爱 意大利男室友hhhh,2,421,沙力兔
看了两遍。表示还要被逼着看第3、4、5、、、、、、N遍,2,426,友邻广播
罗斯和瑞秋终于在一起了，乔伊和钱德勒真是一对好基友。,2,427,豆瓣松鼠
看到Rachel和Ross走到一起还是很甜的，Monica控制欲很强，Bing和Joey的室友情也很甜特别是手链、看剧和分家事件，Phoebe最终没见到老爹不过见到了水手。,2,440,陆钓雪de飘飘
继续支持。前些年的中文字幕看得不全，这次要把英字看完。,2,463,布鲁斯
好看得不得了~~~美剧喜剧最爱,2,469,美妙～
RR恋简直就是教科书般的深刻暧昧纠缠命运纠葛,2,471,李秋天
大概是我看过最无聊的几部情景喜剧之一 弃,2,478,占朵
第二季的时候觉得，嗯....还能看下去~~~,2,481,gabriella
Ross和Rachel在一起了，Chandler和‘OMG’又相遇了，Monica和老Richard分手了，Joey单，Phoebe有水手男友 。continue……,2,461,S_SHAO
最美好的一季！！！,2,473,静眠虚空
我们就这么又哭又笑的长大了~,2,474,Charadox
直到第二季我还觉得joe跟小钱钱很难分辨。但是两个人都好可爱啊。,2,483,NKN·乐析闻
钱德勒，温柔文艺幽默。哈克先生，我们会安静点的，十分柔软动人。她什么都好，缺点只有一个，她不是瑞秋。本来以为一击制胜，没想到反手就是一句，你知道我跟你有哪些不同吗，我根本不会去列这些什么狗屁清单。PS：拜托瑞秋不要再激凸了,2,492,深夜的阿斯伯格
最爱天然呆Phoebe!! 看《老友记》真的会上瘾啊!! 比起第一季 看起来顺畅很多 一口气连看四集都还觉得不够。美美的瑞秋终于和傻大个罗斯终成眷属 妮卡的老男友绅士有型。 这真是一部神奇的美剧! 任何时候看都能为我打扫坏心情。你们六个活宝 笑死我了好吗!!!,2,416,曼靑
26年了，还是没能过上他们当年自由而浪漫的生活。,2,419,__Haru 。
RR养成起步阶段! | 重看脑海里他们后来闹心的纠结挥之不去啊 这一季Monica和Chandler的互动还是很cute 不过Monica和Richard在一起 观感略不幸福! 再度被时间线惊讶到了 原来他们季终就分手了 以及Chandler又和Janice命运的重逢了哈哈! 全剧最高收视一集阵容太华丽 波姬小丝和大嘴姐 大嘴姐好美哦!,2,458,kidpt
"太循规蹈矩的MONICA有点错气，至于异于人类的PHEOBE,我能说只喜欢她的smelly cat么",2,460,cheer chow
chan chan和菲比的神经质气质真是符合我的交友恶趣味！！joey太蠢萌了，mon在他们当中应该算是最正常的了吧，我觉得我以后可能会比较烦RR这一对。,2,465,Echooo
有几集看哭了，特别是乔伊搬走的的那集，罗斯和瑞秋在一起的那集~~好看啊,2,500,memory
感觉比第一季更精彩，一屋子的人欢欢乐乐的，挺不错的一部情景喜剧！,2,436,北城南笙
好有意思~,2,450,龙小姐
第二季总算开始有点搞笑了，晚上躺床上无聊看几集还不错~,2,452,安又胖难吃死了
钱德的女朋友OMG还真是亮点  ps:我也爱老男人,2,496,elf
超级搞笑且有温情。,2,499,尹智龙
第一次看的时候最喜欢瑞秋和罗恩，后来又喜欢莫妮卡和钱德勒，前段时间发现很喜欢菲比和乔伊。其实我喜欢每一个人。,1,6,Stark实习生
好到失语,1,11,影志
我好喜欢菲比的精神状态,1,29,ZhAo.
伴我一生,1,58,北落師門Hiruma
六个老友们的幸福生活,1,81,超cute侠
人生得一知己足矣，何况是一屋子的老朋友，学英语的好教材。,1,82,Bless_U
...,1,85,宋一枚
虽然第一季看完了还会弄混钱德和乔伊，不过果然还是喜欢看情景喜剧！即使是10年前的也依然好看！,1,86,望仔放弃减肥了
原先很抵触 没想到用3个月经历了他们的十年之后 发现那其实是最最真实的情感,1,92,minyee13
真老，真差，真低IQ，真妄得虚名！,1,94,松鼠排队
如果给我这样的十年～～～,1,7,JulyChan
喜剧越来越不好笑的今天，看这部快三十年前的剧反而能真心笑出声～,1,35,麦伦
美剧启蒙！,1,100,RR
嘿，我在2021年终于打开了无数人安利过的老友记！,1,17,Rosyash
他们，都那么可爱、真诚、具有魅力，乐观机智的面对生活中的一切。这6个人，牢固真诚的友谊，一次又一次温馨感动的拥抱，彼此倾诉互相安慰互相鼓励，这样的友情真是难得，剧拍的很棒??,1,64,雪里花蕾
这就是所谓的美剧经典？好看在哪？没人物、没剧情，就几个蹩脚演员在那装疯卖傻瞎抖机灵一句接一句地说着无聊笑点的脱口秀，从头至尾充斥着罐头笑声，直听的人耳根发麻。出品比它还早几年的老国产情景喜剧如《编辑部的故事》《我爱我家》之类的都能甩出它几条街去。,1,71,易老邪
看来我确实从第一季开始看过，当年是真火。菲比这个角色像猫一样存在，想象不出编剧们是怎么想到。不知道为什么男性朋友之间感觉得到“玩在一起”，女性朋友之间“在一起”比较多。当年好像喜欢Ross，现在看来真龟毛，还是Joey傻了吧唧挺好——是对儿子的要求。Chandler明显后面戏份越来越重，的确是演员加持,1,84,山下猫
永远的经典,1,95,yangwen
Friends Forever!,1,13,七月狄奧尼索斯
练习英文的绝佳选择，令人称羡的友情，因为他们六人，相对于彼此没有变化，一起改变,1,38,北漠
经典！经典！经典！像是生活中的一面镜子,1,44,媛木子
