comment,processed_comment,season
monica和chandler终于有小苗头了～,monicachandler终于苗头,3
越来越爱莫妮卡和钱德勒。,越来越爱莫妮卡钱德勒,3
钱乔不在一起我真的会受伤??这一季开始已经有在避嫌并推钱莫线了，我恨你编剧??都不敢往下看了??It’s gonna hurt ??,钱乔真的受伤.一季避嫌推钱莫线恨编剧.Itsgonnahurt,3
怎么能不爱Chandler,爱Chandler,3
还行。瑞秋和罗斯的分分合合开始贯穿老友记的主线。,瑞秋罗斯分分合合贯穿老友记主线,3
chandler 颜值高峰/ 结束时和Monica不忘埋梗 :串来了本斯蒂勒、罗宾威廉姆斯好几位,chandler颜值高峰结束Monica忘埋梗串来斯蒂勒罗宾威廉姆斯好几位,3
目测要一路五星~ rachel和ross分手那里真揪心啊。 哎,目测一路五星rachelross分手真揪心,3
RR恋这季一下就触底了，Ross新欢Bony热衷性事的段子太欢乐；Phoebe教法国男友演绎法语版的American Pie太逗；钱德勒蓄胡真不好看，女性化那段太搞了，对其好感剧增啊，结尾算是以后和M的铺垫么？这季客串也蛮抢眼的，乔恩费儒、本斯蒂勒、罗宾威廉姆斯和比利克里斯托，不过笑果不怎么样。,RR恋这季触底Ross新欢Bony热衷性事段子欢乐.Phoebe教法国男友演绎法语版AmericanPie太逗.钱德勒蓄胡真好看女性化那段搞好感剧增结尾算是M铺垫.季客串抢眼乔恩费儒斯蒂勒罗宾威廉姆斯比利克里斯托笑果不怎么样,3
也许朋友就是，再怎么斗嘴、掐架，最后都还是会一起过节的人。连片头都不舍得跳过地一点点珍惜着，最后也还是结束了这一季。也许这就是人生，再珍视的东西，也总有离去的一天。,也许朋友斗嘴掐架过节.连片头舍得跳过一点点珍惜结束一季.也许人生珍视东西总有离去,3
剧情发展很快，开始慢慢跟得上包袱，也爱上这些角色了,剧情发展很快慢慢跟得上包袱爱角色,3
很好笑  比第二季好看,好笑第二季好看,3
菲比的弟弟抢风头啊哈哈,菲比弟弟抢风头,3
罗斯和瑞秋的感情戏非常烦，而且为了制造冲突给角色降智就更烦了。,罗斯瑞秋感情戏烦制造冲突角色降智更烦,3
